Origin_airport,Destination_airport,Origin_city,Destination_city,Passengers,Seats,Flights,Distance,Fly_date,Origin_population,Destination_population,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long
SNA,PIT,"Santa Ana, CA","Pittsburgh, PA",5384,7686,61,2115,1997-10-01,11791730,2432761,33.67570114,-117.8679962,40.49150085,-80.23290253
IAD,AUS,"Washington, DC","Austin, TX",2036,2592,24,1294,1999-07-01,9231820,1146050,38.94449997,-77.45580292,30.1944999694824,-97.6698989868164
PHX,OMA,"Phoenix, AZ","Omaha, NE",12132,15834,120,1037,2001-07-01,3388445,775380,33.4342994689941,-112.012001037598,41.3031997680664,-95.8940963745117
SJC,TUS,"San Jose, CA","Tucson, AZ",2,137,1,721,2008-01-01,1810646,1009832,37.3625984191895,-121.929000854492,32.1161003112793,-110.94100189209
CMH,CVG,"Columbus, OH","Cincinnati, OH",869,2720,16,116,2001-02-01,1642112,2035680,39.9980010986328,-82.8918991088867,39.0488014221,-84.6678009033
IND,BWI,"Indianapolis, IN","Baltimore, MD",0,0,0,515,2000-10-01,1531156,2557501,39.7173,-86.294403,39.17539978,-76.66829681
TUS,ORD,"Tucson, AZ","Chicago, IL",113,120,1,1437,2004-03-01,924205,18664180,32.1161003112793,-110.94100189209,41.97859955,-87.90480042
PHX,EWR,"Phoenix, AZ","Newark, NJ",7712,11588,61,2133,1991-01-01,2302011,16874842,33.4342994689941,-112.012001037598,40.6925010681152,-74.168701171875
IAD,IND,"Washington, DC","Indianapolis, IN",2701,3150,63,476,2007-05-01,10626066,1697656,38.94449997,-77.45580292,39.7173,-86.294403
CMH,TPA,"Columbus, OH","Tampa, FL",636,822,6,829,2008-10-01,1779822,2730007,39.9980010986328,-82.8918991088867,27.9755001068115,-82.533203125
ATL,JAX,"Atlanta, GA","Jacksonville, FL",2003,2610,29,270,1993-12-01,3339551,978930,33.6366996765137,-84.4281005859375,30.4941005706787,-81.6878967285156
